1.00 1 3110553
2.01 1 3110501
3.01 1 3110501
4.02 1 3110501
5.02 1 3110501
6.03 1 3110501
7.03 1 3110501
8.03 1 3110501
9.04 1 3110501
10.04 1 3110501
11.05 1 3110501
12.05 1 3110501
13.05 1 3110501
14.06 1 3110501
15.06 1 3110501
16.07 0 0
17.07 1 3110501
18.07 1 3110501
19.08 1 3110501
20.08 1 3110501
21.09 1 3110501
22.09 1 3110501
23.10 1 3110501
24.11 1 3110501
25.12 1 3110501
26.13 1 3110501
27.13 1 3110501
28.14 1 3110501
29.15 1 3110501
30.15 1 3110501
31.15 1 3110501
32.16 1 3110501
33.16 0 0
34.17 1 3110501
35.17 1 3110501
36.17 1 3110501
37.18 1 3110501
38.18 1 3110501
39.19 1 3110501
40.19 1 3110501
41.19 1 3110501
42.20 1 3110501
43.20 1 3110501
44.21 1 3110501
45.21 1 3110501
46.21 1 3110501
47.22 1 3110501
48.22 1 3110501
49.23 1 3110501
50.23 0 0
51.23 1 3110501
52.24 1 3110501
53.24 1 3110501
54.25 1 3110501
55.25 1 3110501
56.25 1 3110501
57.26 1 3110501
58.26 1 3110501
59.27 1 3110501
60.27 1 3110501
61.27 1 3110501
62.28 1 3110501
63.28 1 3110501
64.29 1 3110501
65.29 1 3110501
66.29 0 0
67.30 1 3110501
68.30 1 3110501
69.31 1 3110501
70.31 1 3110501
71.31 1 3110501
72.32 1 3110501
73.32 1 3110501
74.33 1 3110501
75.33 1 3110501
76.33 1 3110501
77.34 1 3110501
78.34 1 3110501
79.35 1 3110501
80.35 1 3110501
81.35 1 3110501
82.36 1 3110501
83.37 0 0
84.37 1 3110501
85.38 1 3110501
86.39 1 3110501
87.39 1 3110501
88.40 1 3110501
89.40 1 3110501
90.41 1 3110501
91.41 1 3110501
92.41 1 3110501
93.42 1 3110501
94.42 1 3110501
95.43 1 3110501
96.43 1 3110501
97.43 1 3110501
98.44 1 3110501
99.44 1 3110501
100.45 0 0
101.45 1 3110501
102.45 1 3110501
103.46 1 3110501
104.46 1 3110501
105.47 1 3110501
106.47 1 3110501
106.47 0 0
