0 1.00 0.40
1 5.97 2.38
2 61.35 24.43
3 21.14 8.42
4 65.35 26.02
5 36.88 14.68
6 37.98 15.12
7 27.17 10.82
8 46.37 18.46
9 38.02 15.14
10 37.54 14.94
11 39.00 15.53
12 36.97 14.72
13 37.51 14.94
14 32.51 12.94
15 41.02 16.33
16 41.06 16.35
17 36.96 14.71
18 39.55 15.75
19 37.01 14.73
20 36.03 14.35
21 35.86 14.28
22 35.45 14.12
23 33.23 13.23
24 33.66 13.40
25 36.71 14.62
26 37.80 15.05
27 40.33 16.06
28 33.64 13.39
29 37.90 15.09
30 39.98 15.92
31 33.88 13.49
32 37.55 14.95
33 33.73 13.43
34 34.95 13.91
35 31.11 12.39
36 31.52 12.55
37 33.38 13.29
38 25.33 10.09
39 24.45 9.74
40 24.17 9.62
41 24.97 9.94
42 19.78 7.87
43 21.19 8.44
44 19.84 7.90
45 15.12 6.02
46 12.81 5.10
47 11.91 4.74
48 8.56 3.41
49 7.85 3.12
50 7.99 3.18
51 5.62 2.24
52 3.48 1.38
53 1.61 0.64
54 1.00 0.40
55 0.99 0.40
56 1.00 0.40
