0 1.99 0.05
1 9.97 0.25
2 53.56 1.33
3 15.15 0.38
4 41.67 1.04
5 23.92 0.60
6 23.90 0.59
7 19.99 0.50
8 32.73 0.81
9 24.94 0.62
10 24.92 0.62
11 24.79 0.62
12 27.86 0.69
13 24.95 0.62
14 27.87 0.69
15 18.03 0.45
16 32.51 0.81
17 27.02 0.67
18 25.83 0.64
19 26.07 0.65
20 22.87 0.57
21 27.58 0.69
22 27.93 0.69
23 26.33 0.66
24 19.91 0.50
25 25.36 0.63
26 27.79 0.69
27 29.30 0.73
28 21.11 0.53
29 25.29 0.63
30 29.94 0.75
31 21.62 0.54
32 29.43 0.73
33 24.92 0.62
34 23.62 0.59
35 27.78 0.69
36 26.12 0.65
37 26.76 0.67
38 26.92 0.67
39 25.15 0.63
40 25.21 0.63
41 20.43 0.51
42 29.30 0.73
43 30.26 0.75
44 24.56 0.61
45 21.55 0.54
46 26.55 0.66
47 26.89 0.67
48 27.34 0.68
49 23.10 0.57
50 23.86 0.59
51 30.03 0.75
52 25.21 0.63
53 28.16 0.70
54 21.73 0.54
55 27.56 0.69
56 27.27 0.68
57 23.07 0.57
58 26.24 0.65
59 27.41 0.68
60 23.35 0.58
61 23.80 0.59
62 29.12 0.72
63 21.66 0.54
64 30.25 0.75
65 24.04 0.60
66 26.27 0.65
67 23.37 0.58
68 28.66 0.71
69 23.58 0.59
70 24.48 0.61
71 26.20 0.65
72 28.63 0.71
73 29.39 0.73
74 20.21 0.50
75 24.88 0.62
76 25.52 0.63
77 27.83 0.69
78 26.89 0.67
79 22.79 0.57
80 26.74 0.67
81 22.65 0.56
82 27.35 0.68
83 25.55 0.64
84 31.26 0.78
85 25.44 0.63
86 23.96 0.60
87 26.21 0.65
88 23.47 0.58
89 26.13 0.65
90 27.48 0.68
91 25.08 0.62
92 25.65 0.64
93 26.80 0.67
94 21.69 0.54
95 27.94 0.70
96 30.33 0.75
97 22.36 0.56
98 24.34 0.61
99 28.61 0.71
100 25.43 0.63
101 28.12 0.70
102 21.52 0.54
103 26.89 0.67
104 23.74 0.59
105 23.22 0.58
106 33.08 0.82
107 20.60 0.51
108 21.45 0.53
109 23.68 0.59
110 26.11 0.65
111 17.97 0.45
112 23.46 0.58
113 19.22 0.48
114 17.90 0.45
115 20.02 0.50
116 16.84 0.42
117 20.21 0.50
118 9.09 0.23
119 13.54 0.34
120 14.29 0.36
121 9.81 0.24
122 11.12 0.28
123 12.76 0.32
124 10.82 0.27
125 2.98 0.07
126 3.25 0.08
127 2.98 0.07
128 2.88 0.07
129 0.56 0.01
130 0.70 0.02
