0 0.99 0.05
1 50.80 2.53
2 43.68 2.17
3 14.23 0.71
4 49.53 2.46
5 31.80 1.58
6 31.92 1.59
7 23.09 1.15
8 40.58 2.02
9 31.87 1.59
10 31.83 1.58
11 31.90 1.59
12 31.79 1.58
13 31.88 1.59
14 32.08 1.60
15 26.66 1.33
16 9.93 0.49
17 26.97 1.34
18 31.69 1.58
19 31.90 1.59
20 31.82 1.58
21 31.89 1.59
22 31.84 1.58
23 31.85 1.59
24 31.91 1.59
25 31.82 1.58
26 31.91 1.59
27 31.84 1.58
28 31.86 1.59
29 31.90 1.59
30 31.82 1.58
31 32.61 1.62
32 10.23 0.51
33 24.43 1.22
34 28.42 1.41
35 31.60 1.57
36 31.84 1.58
37 31.87 1.59
38 31.87 1.59
39 31.85 1.58
40 31.86 1.59
41 31.82 1.58
42 31.86 1.59
43 31.89 1.59
44 31.85 1.59
45 31.89 1.59
46 31.82 1.58
47 32.00 1.59
48 32.77 1.63
49 15.03 0.75
50 19.21 0.96
51 28.61 1.42
52 31.63 1.57
53 31.89 1.59
54 31.85 1.58
55 31.89 1.59
56 31.89 1.59
57 31.86 1.59
58 31.89 1.59
59 31.83 1.58
60 31.88 1.59
61 31.89 1.59
62 31.85 1.58
63 28.95 1.44
64 35.60 1.77
65 28.41 1.41
66 14.25 0.71
67 21.31 1.06
68 30.66 1.53
69 31.85 1.59
70 31.86 1.59
71 31.86 1.59
72 31.81 1.58
73 31.86 1.59
74 31.85 1.58
75 31.85 1.59
76 31.88 1.59
77 31.84 1.58
78 31.86 1.59
79 31.87 1.59
80 31.86 1.59
81 33.80 1.68
82 23.59 1.17
83 16.04 0.80
84 23.16 1.15
85 30.73 1.53
86 31.87 1.59
87 31.86 1.59
88 31.87 1.59
89 31.85 1.59
90 31.86 1.59
91 31.87 1.59
92 31.85 1.58
93 31.85 1.59
94 31.84 1.58
95 31.83 1.58
96 31.89 1.59
97 32.07 1.60
98 34.06 1.70
99 18.84 0.94
100 19.95 0.99
101 23.67 1.18
102 30.49 1.52
103 31.85 1.58
104 31.85 1.59
105 31.86 1.59
