0 0.99 0.10
1 48.81 4.86
2 45.63 4.54
3 10.35 1.03
4 53.37 5.31
5 31.85 3.17
6 32.95 3.28
7 24.96 2.48
8 38.73 3.86
9 29.87 2.97
10 30.91 3.08
11 29.07 2.89
12 26.75 2.66
13 31.80 3.17
14 30.35 3.02
15 16.99 1.69
16 26.40 2.63
17 31.63 3.15
18 31.87 3.17
19 31.91 3.18
20 31.78 3.16
21 31.92 3.18
22 31.83 3.17
23 32.87 3.27
24 31.01 3.09
25 29.86 2.97
26 31.76 3.16
27 31.12 3.10
28 28.01 2.79
29 28.67 2.85
30 32.11 3.20
31 24.73 2.46
32 19.54 1.94
33 29.00 2.89
34 31.73 3.16
35 31.82 3.17
36 31.89 3.17
37 31.86 3.17
38 31.95 3.18
39 30.88 3.07
40 31.74 3.16
41 34.95 3.48
42 28.98 2.88
43 30.77 3.06
44 30.54 3.04
45 25.69 2.56
46 31.38 3.12
47 31.88 3.17
48 22.73 2.26
49 22.05 2.19
50 28.86 2.87
51 31.60 3.15
52 31.85 3.17
53 31.85 3.17
54 17.49 1.74
